mode,trade_id,direction,entry,exit,lot,pnl,pnl_pips,opened_at,closed_at,reason
VERY_AGGRESSIVE,892023cf-6,sell,3329.2,3332.46,0.01,-3.26,-32.6,2025-07-16 03:00:00,2026-04-15 05:04:21,sl
VERY_AGGRESSIVE,86382c2d-e,buy,3362.95,3365.56,0.01,2.61,26.1,2025-08-25 05:15:00,2026-04-15 05:34:56,sl
VERY_AGGRESSIVE,a0e1ac6f-d,buy,3364.47,3365.56,0.01,1.09,10.9,2025-08-25 05:30:00,2026-04-15 05:34:56,sl
VERY_AGGRESSIVE,61e45845-d,buy,3364.97,3365.56,0.01,0.59,5.9,2025-08-25 05:45:00,2026-04-15 05:34:56,sl
VERY_AGGRESSIVE,828c7470-f,buy,3367.12,3365.56,0.01,-1.56,-15.6,2025-08-25 06:00:00,2026-04-15 05:34:56,sl
VERY_AGGRESSIVE,8bb4be93-a,buy,4000.92,3996.02,0.01,-4.9,-49.0,2025-10-31 06:15:00,2026-04-15 06:05:22,sl
VERY_AGGRESSIVE,03946c29-c,buy,3998.52,3994.38,0.01,-4.14,-41.4,2025-10-31 06:30:00,2026-04-15 06:05:23,sl
VERY_AGGRESSIVE,8ef0c686-4,buy,4234.79,4236.36,0.01,1.57,15.7,2025-12-01 05:00:00,2026-04-15 06:35:27,sl
VERY_AGGRESSIVE,f8f31b8f-8,buy,4235.76,4236.36,0.01,0.6,6.0,2025-12-01 05:15:00,2026-04-15 06:35:27,sl
VERY_AGGRESSIVE,da9bd8a3-4,buy,4238.86,4237.32,0.01,-1.54,-15.4,2025-12-01 05:30:00,2026-04-15 06:35:28,sl
VERY_AGGRESSIVE,dbebeb6e-c,buy,4239.82,4243.7,0.01,3.88,38.8,2025-12-01 05:45:00,2026-04-15 06:35:33,sl
VERY_AGGRESSIVE,69d34010-c,buy,4233.12,4218.19,0.01,-14.93,-149.3,2025-12-01 07:00:00,2026-04-15 06:35:36,sl
VERY_AGGRESSIVE,38c0ae07-2,buy,4220.69,4231.2,0.01,10.51,105.1,2025-12-01 07:15:00,2026-04-15 06:35:40,sl
VERY_AGGRESSIVE,eda8c516-8,buy,4232.14,4235.0,0.01,2.86,28.6,2025-12-01 08:15:00,2026-04-15 06:35:46,sl
VERY_AGGRESSIVE,06c21188-1,buy,4235.88,4235.0,0.01,-0.88,-8.8,2025-12-01 08:30:00,2026-04-15 06:35:46,sl
VERY_AGGRESSIVE,57a3204d-b,buy,4237.5,4235.18,0.01,-2.32,-23.2,2025-12-01 08:45:00,2026-04-15 06:35:47,sl
VERY_AGGRESSIVE,434df091-9,buy,4412.82,4424.34,0.01,11.52,115.2,2026-01-05 15:30:00,2026-04-15 07:05:54,sl
VERY_AGGRESSIVE,7018baf2-4,buy,4417.41,4424.34,0.01,6.93,69.3,2026-01-05 15:45:00,2026-04-15 07:05:54,sl
VERY_AGGRESSIVE,9fbdb455-b,buy,4426.84,4419.18,0.01,-7.66,-76.6,2026-01-05 16:00:00,2026-04-15 07:05:55,sl
VERY_AGGRESSIVE,480b2105-8,buy,4421.68,4447.22,0.01,25.54,255.4,2026-01-05 16:15:00,2026-04-15 07:06:04,sl
VERY_AGGRESSIVE,3376d5c5-8,buy,4445.09,4445.37,0.01,0.28,2.8,2026-01-05 17:15:00,2026-04-15 07:06:17,sl
VERY_AGGRESSIVE,924a5d2c-f,buy,4447.87,4446.59,0.01,-1.28,-12.8,2026-01-05 17:30:00,2026-04-15 07:06:18,sl
VERY_AGGRESSIVE,185546b3-a,buy,4449.09,4444.45,0.01,-4.64,-46.4,2026-01-05 17:45:00,2026-04-15 07:06:19,sl
VERY_AGGRESSIVE,33c09457-8,buy,5064.51,5066.15,0.01,1.64,16.4,2026-02-12 09:45:00,2026-04-15 07:36:24,sl
VERY_AGGRESSIVE,7bffa7e6-b,buy,5068.65,5058.96,0.01,-9.69,-96.9,2026-02-12 10:00:00,2026-04-15 07:36:25,sl
